k,run_id,seed,acc,f1,top5,valid_classes,test_samples
5,9,9047,0.4659090909090909,0.37457459420375017,0.9318181818181818,12,88
5,10,10047,0.4090909090909091,0.32110040497137265,0.9318181818181818,12,88
5,11,11047,0.5795454545454546,0.49907062956935083,0.9545454545454546,12,88
5,12,12047,0.6136363636363636,0.5034100107241387,0.9545454545454546,12,88
5,13,13047,0.5340909090909091,0.44073412139975604,0.9545454545454546,12,88
5,14,14047,0.5681818181818182,0.4553442092967785,0.9545454545454546,12,88
5,15,15047,0.4431818181818182,0.36059196737215315,0.9545454545454546,12,88
5,16,16047,0.42045454545454547,0.3172031317964332,0.9318181818181818,12,88
5,17,17047,0.6022727272727273,0.5223070373827237,0.9659090909090909,12,88
5,18,18047,0.375,0.2892538450217815,0.9545454545454546,12,88
5,19,19047,0.5227272727272727,0.4219306403651537,0.9545454545454546,12,88
10,0,52,0.45454545454545453,0.37522744635044103,0.9545454545454546,12,88
10,1,1052,0.5113636363636364,0.40662237836893544,0.9545454545454546,12,88
10,2,2052,0.6022727272727273,0.5029638110005185,0.9545454545454546,12,88
10,3,3052,0.5113636363636364,0.43198640540745803,0.9545454545454546,12,88
10,4,4052,0.4772727272727273,0.4172140661271096,0.9772727272727273,12,88
10,5,5052,0.5,0.4200391993701995,0.9318181818181818,12,88
10,6,6052,0.5568181818181818,0.42822246701023253,0.9545454545454546,12,88
10,7,7052,0.5568181818181818,0.4851403375221033,0.9659090909090909,12,88
10,8,8052,0.5909090909090909,0.45424148044468904,0.9659090909090909,12,88
10,9,9052,0.6022727272727273,0.4775266013656107,0.9545454545454546,12,88
10,10,10052,0.5454545454545454,0.45442241968557756,0.9545454545454546,12,88
10,11,11052,0.4659090909090909,0.36727518593644354,0.9545454545454546,12,88
10,12,12052,0.5454545454545454,0.4475607725607725,0.9545454545454546,12,88
10,13,13052,0.5227272727272727,0.43413168193087054,0.9545454545454546,12,88
10,14,14052,0.5113636363636364,0.43600816179867563,0.9545454545454546,12,88
10,15,15052,0.5795454545454546,0.45704723355385996,0.9545454545454546,12,88
10,16,16052,0.5113636363636364,0.4285131683527405,0.9545454545454546,12,88
10,17,17052,0.4659090909090909,0.3849271940181031,0.9545454545454546,12,88
10,18,18052,0.48863636363636365,0.4095490038147192,0.9772727272727273,12,88
10,19,19052,0.5454545454545454,0.4592340535132297,0.9545454545454546,12,88
